action_name,timestamp
addAnDepartment,01:03:59:668 PM 07-May-2019
setDepartmentManager,01:03:59:731 PM 07-May-2019
setDepartmentSecretary,01:03:59:731 PM 07-May-2019
addDriver,01:03:59:731 PM 07-May-2019
addDriver,01:03:59:731 PM 07-May-2019
addDriver,01:03:59:746 PM 07-May-2019
removeDriver,01:03:59:746 PM 07-May-2019
addEmployee,01:03:59:746 PM 07-May-2019
addEmployee,01:03:59:746 PM 07-May-2019
addEmployee,01:03:59:746 PM 07-May-2019
addEmployee,01:03:59:746 PM 07-May-2019
increaseEmployeeSalary,01:03:59:746 PM 07-May-2019
decreaseEmployeeSalary,01:03:59:746 PM 07-May-2019
fireEmployee,01:03:59:746 PM 07-May-2019
promoteEmployee,01:03:59:746 PM 07-May-2019
changeDepartmentLocation,01:03:59:746 PM 07-May-2019
addAnDepartment,01:04:11:136 PM 07-May-2019
setDepartmentManager,01:04:11:542 PM 07-May-2019
setDepartmentSecretary,01:04:11:542 PM 07-May-2019
addDriver,01:04:11:542 PM 07-May-2019
addDriver,01:04:11:542 PM 07-May-2019
addDriver,01:04:11:542 PM 07-May-2019
removeDriver,01:04:11:542 PM 07-May-2019
addEmployee,01:04:11:542 PM 07-May-2019
addEmployee,01:04:11:558 PM 07-May-2019
addEmployee,01:04:11:558 PM 07-May-2019
addEmployee,01:04:11:558 PM 07-May-2019
increaseEmployeeSalary,01:04:11:558 PM 07-May-2019
decreaseEmployeeSalary,01:04:11:558 PM 07-May-2019
fireEmployee,01:04:11:558 PM 07-May-2019
promoteEmployee,01:04:11:558 PM 07-May-2019
changeDepartmentLocation,01:04:11:558 PM 07-May-2019
addAnDepartment,01:04:18:440 PM 07-May-2019
setDepartmentManager,01:04:18:487 PM 07-May-2019
setDepartmentSecretary,01:04:18:487 PM 07-May-2019
addDriver,01:04:18:503 PM 07-May-2019
addDriver,01:04:18:503 PM 07-May-2019
addDriver,01:04:18:503 PM 07-May-2019
removeDriver,01:04:18:503 PM 07-May-2019
addEmployee,01:04:18:503 PM 07-May-2019
addEmployee,01:04:18:503 PM 07-May-2019
addEmployee,01:04:18:503 PM 07-May-2019
addEmployee,01:04:18:503 PM 07-May-2019
increaseEmployeeSalary,01:04:18:503 PM 07-May-2019
decreaseEmployeeSalary,01:04:18:503 PM 07-May-2019
fireEmployee,01:04:18:503 PM 07-May-2019
promoteEmployee,01:04:18:503 PM 07-May-2019
changeDepartmentLocation,01:04:18:503 PM 07-May-2019
